Design         ,                          MINI,                         SMALL,                        MEDIUM,                         LARGE, MINI,                         SMALL,                        MEDIUM,                         LARGE
# operations   ,                           924,                          8080,                         62640,                       1681200, 30,                            80,                           240,                          1200
baseline       ,               (31; 31; 28644),              (31; 31; 250480),             (31; 31; 1941840),            (31; 31; 52117200), (31; 31; 930),                (31; 31; 2480),                (31; 31; 7440),               (31; 31; 37200)
proposed       ,               (30; 31; 28637),              (30; 31; 250400),             (30; 30; 1879200),            (29; 30; 50434800), (25; 30; 847),                (26; 30; 2292),                (26; 30; 6803),               (26; 30; 34306)
reduction      ,          (-1; 0; -7 (-0.02%)),         (-1; 0; -80 (-0.03%)),     (-1; -1; -62640 (-3.23%)),   (-2; -1; -1682400 (-3.23%)), (-6; -1; -83 (-8.92%)),       (-5; -1; -188 (-7.58%)),       (-5; -1; -637 (-8.56%)),      (-5; -1; -2894 (-7.78%))
baseline_stop  ,               (31; 31; 28644),                (5; 31; 42480),             (31; 31; 1941840),            (31; 31; 52117200), (31; 31; 930),                (31; 31; 2480),                (31; 31; 7440),               (14; 31; 37183)
proposed_stop  ,               (30; 31; 28637),                (5; 30; 42400),             (30; 30; 1879200),            (29; 30; 50434800), (25; 30; 847),                (26; 30; 2292),                (26; 30; 6803),               (14; 30; 34291)
reduction_stop ,          (-1; 0; -7 (-0.02%)),         (0; -1; -80 (-0.19%)),     (-1; -1; -62640 (-3.23%)),   (-2; -1; -1682400 (-3.23%)), (-6; -1; -83 (-8.92%)),       (-5; -1; -188 (-7.58%)),       (-5; -1; -637 (-8.56%)),       (0; -1; -2892 (-7.78%))

